record ID,latitude,longitude,date,case_numbe,cluster label,subzone ID
403,1.392988,103.7436522,200221,2,69,291
404,1.3577439,103.7592691,200221,2,70,197
405,1.358977,103.760407,200221,1,70,197
406,1.299684,103.796713,200221,1,71,55
407,1.2991863,103.7965878,200221,2,71,55
408,1.304822,103.893071,200221,1,72,60
409,1.3084465,103.8939903,200221,1,72,60
410,1.3071727,103.8955493,200221,1,72,93
411,1.363598,103.882883,200221,2,73,203
412,1.364812,103.88375,200221,1,73,203
413,1.3231293,103.8686562,200221,1,74,138
414,1.32237,103.870067,200221,1,74,138
415,1.3219939,103.870953,200221,1,74,138
416,1.3497348,103.8889379,200221,3,75,157
417,1.326757,103.864432,200221,3,76,180
418,1.3789749,103.7580744,200221,1,77,236
419,1.3798578,103.7571124,200221,1,77,236
420,1.380132,103.756203,200221,1,77,236
421,1.3485515,103.7210893,200221,1,78,162
422,1.347836,103.719396,200221,1,78,162
423,1.347532,103.720013,200221,1,78,162
424,1.3522689,103.7184469,200221,1,79,162
425,1.35138,103.717288,200221,1,79,162
426,1.35113,103.718441,200221,1,79,162
427,1.359738,103.883516,200221,3,80,203
428,1.3609976,103.8848744,200221,3,81,203
429,1.314262,103.873322,200221,1,82,107
430,1.313034,103.8722638,200221,1,82,107
431,1.313973,103.873035,200221,1,82,107
432,1.337025,103.850576,200221,1,83,239
433,1.337782,103.850717,200221,1,83,239
434,1.337804,103.852442,200221,1,83,239
435,1.3140902,103.910914,200221,3,84,121
436,1.308102,103.9126748,200221,3,85,121
437,1.37723,103.831148,200221,2,86,225
438,1.3777812,103.8315084,200221,1,86,225
439,1.316179,103.75375,200221,3,87,113
440,1.4199398,103.8400094,200221,2,88,310
441,1.420251,103.841112,200221,1,88,310
442,1.3684719,103.8443607,200221,2,89,205
443,1.331021,103.933518,200221,1,90,173
444,1.33209,103.934874,200221,1,90,173
445,1.3259021,103.8867935,200221,1,91,171
446,1.3246153,103.8879434,200221,1,91,171
447,1.306947,103.801433,200221,1,92,61
448,1.307424,103.801109,200221,1,92,61
449,1.384342,103.899435,200221,1,93,314
450,1.384097,103.901076,200221,1,93,292
451,1.303848,103.779447,200221,2,94,62
452,1.317953,103.885563,200221,1,95,117
453,1.3177053,103.8849042,200221,1,95,117
454,1.356307,103.760808,200221,1,96,197
455,1.356931,103.760493,200221,1,96,197
456,1.366347,103.895856,200221,1,97,224
457,1.3668286,103.89681,200221,1,97,224
458,1.3735204,103.8798173,200221,1,98,235
459,1.374369,103.880448,200221,1,98,235
460,1.313915,103.841557,200221,1,99,119
461,1.313923,103.840362,200221,1,99,119
462,1.3119023,103.915054,200221,1,100,121
463,1.3107682,103.9115566,200221,1,100,121
464,1.3252194,103.9121199,200221,1,101,92
465,1.325338,103.914527,200221,1,101,92
466,1.395207,103.902973,200221,2,102,292
467,1.380717,103.89996,200221,2,103,292
468,1.318256,103.937345,200221,2,104,141
469,1.386201,103.76172,200221,2,105,257
470,1.349433,103.838285,200221,2,106,200
471,1.431286,103.781268,200221,1,107,270
472,1.4305037,103.7795342,200221,1,107,270
473,1.43595,103.801765,200221,1,108,285
474,1.437365,103.802391,200221,1,108,285
475,1.435844,103.773005,200221,1,109,281
476,1.434265,103.774309,200221,1,109,281
477,1.414135,103.832531,200221,1,110,310
478,1.4150817,103.8328823,200221,1,110,310
479,1.387103,103.862363,200228,6,1,246
480,1.386371,103.861516,200228,5,1,246
481,1.387782,103.862708,200228,1,1,246
482,1.388717,103.861764,200228,5,1,246
483,1.386942,103.861363,200228,5,1,246
484,1.3863939,103.866405,200228,2,1,246
485,1.381663,103.861073,200228,2,1,246
486,1.38147,103.861861,200228,1,1,246
487,1.385151,103.862949,200228,14,1,246
488,1.38343,103.859312,200228,3,1,246
